System_ID,Hostname,Status,LastSeenTime,Component1,Component2,Component3,OtherStats1,OtherStats2,OtherStats3
4a01e428-9dd7-4f1a-add5-63b0be2bd96a,WinSer19PriDC,good,06-26-2024,@{code=mtr; version=LTS 2024.0.0.3; status=installed} @{code=coreAgent; version=LTS 2024.0.0.3; status=installed} @{code=xdr; version=LTS 2024.0.0.3; status=installed} @{code=interceptX; version=LTS 2023.2.1.25; status=notInstalled},LTS 2023.2.1.25,LTS 2024.0.0.3,TRUE,Done,Deleted
586bfec3-2c46-4f1d-9fb2-dd0f11292aeb,PREDATOR-ON-PLAY,good,06-26-2024,@{code=deviceEncryption; version=LTS 2024.0.0.2; status=notInstalled} @{code=interceptX; version=LTS 2023.2.1.25; status=notInstalled} @{code=mtr; version=LTS 2024.0.0.3; status=installed} @{code=coreAgent; version=LTS 2024.0.0.3; status=installed} @{code=xdr; version=LTS 2024.0.0.3; status=installed} @{code=ztna; version=LTS 2024.0.0.3; status=notInstalled},LTS 2023.2.1.25,LTS 2024.0.0.3,TRUE,Done,Deleted
